Date,PM2.5
2021/10/1,40
2021/10/2,56
2021/10/3,62
2021/10/4,43
2021/10/5,52
2021/10/6,53
2021/10/7,53
2021/10/8,48
2021/10/9,61
2021/10/10,85
2021/10/11,80
2021/10/12,78
2021/10/13,55
2021/10/14,55
2021/10/15,56
2021/10/16,68
2021/10/17,76
2021/10/18,54
2021/10/19,53
2021/10/20,52
2021/10/21,53
2021/10/22,66
2021/10/23,84
2021/10/24,86
2021/10/25,55
2021/10/26,38
2021/10/27,54
2021/10/28,88
2021/10/29,71
2021/10/30,58
2021/10/31,69
2021/11/1,91
2021/11/2,81
2021/11/3,68
2021/11/4,85
2021/11/5,89
2021/11/6,117
2021/11/7,123
2021/11/8,90
2021/11/9,87
2021/11/10,75
2021/11/11,60
2021/11/17,71
2021/11/18,98
2021/11/19,148
2021/11/20,100
2021/11/21,62
2021/11/22,85
2021/11/23,118
2021/11/24,89
2021/11/25,48
2021/11/26,51
2021/11/27,63
2021/11/28,59
2021/11/29,63
2021/11/30,71
2021/12/1,62
2021/12/2,48
2021/12/3,54
2021/12/4,93
2021/12/5,119
2021/12/6,152
2021/12/7,66
2021/12/8,88
2021/12/9,49
2021/12/10,62
2021/12/11,66
2021/12/12,69
2021/12/13,77
2021/12/14,108
2021/12/15,87
2021/12/16,45
2021/12/17,57
2021/12/18,44
2021/12/19,47
2021/12/20,40
2021/12/21,34
2021/12/22,18
2021/12/23,45
2021/12/24,52
2021/12/25,64
2021/12/26,79
2021/12/27,104
2021/12/28,101
2021/12/29,92
2021/12/30,101
2021/12/31,82
2021/7/1,53
2021/7/2,79
2021/7/3,85
2021/7/4,61
2021/7/5,46
2021/7/6,50
2021/7/7,52
2021/7/8,52
2021/7/9,48
2021/7/10,53
2021/7/11,54
2021/7/12,62
2021/7/13,64
2021/7/14,63
2021/7/15,70
2021/7/16,61
2021/7/17,62
2021/7/18,61
2021/7/19,63
2021/7/20,72
2021/7/21,72
2021/7/22,61
2021/7/23,47
2021/7/24,52
2021/7/25,65
2021/7/26,937
2021/7/27,592
2021/7/28,45
2021/7/29,57
2021/7/30,67
2021/7/31,56
2021/8/1,59
2021/8/2,56
2021/8/3,57
2021/8/4,58
2021/8/5,62
2021/8/6,64
2021/8/7,66
2021/8/8,61
2021/8/9,63
2021/8/10,40
2021/8/11,15
2021/8/12,43
2021/8/13,60
2021/8/14,56
2021/8/15,52
2021/8/16,58
2021/8/17,59
2021/8/18,59
2021/8/19,62
2021/8/20,52
2021/8/21,50
2021/8/22,52
2021/8/23,52
2021/8/24,56
2021/8/25,53
2021/8/26,66
2021/8/27,81
2021/8/28,81
2021/8/29,69
2021/8/30,74
2021/8/31,74
2021/9/1,72
2021/9/2,60
2021/9/3,43
2021/9/4,47
2021/9/5,54
2021/9/6,51
2021/9/7,35
2021/9/8,26
2021/9/9,43
2021/9/10,55
2021/9/11,46
2021/9/12,52
2021/9/13,64
2021/9/14,61
2021/9/15,59
2021/9/16,56
2021/9/17,61
2021/9/18,73
2021/9/19,76
2021/9/20,64
2021/9/21,79
2021/9/22,80
2021/9/23,39
2021/9/24,42
2021/9/25,56
2021/9/26,98
2021/9/27,78
2021/9/28,66
2021/9/29,67
2021/9/30,49
2021/4/1,24
2021/4/2,59
2021/4/3,56
2021/4/4,51
2021/4/5,48
2021/4/6,56
2021/4/7,60
2021/4/8,55
2021/4/9,32
2021/4/10,30
2021/4/11,37
2021/4/12,36
2021/4/13,47
2021/4/14,44
2021/4/15,54
2021/4/16,55
2021/4/17,65
2021/4/18,67
2021/4/19,56
2021/4/20,56
2021/4/21,42
2021/4/22,47
2021/4/23,46
2021/4/24,45
2021/4/25,44
2021/4/26,42
2021/4/27,38
2021/4/28,41
2021/4/29,53
2021/4/30,62
2021/5/1,60
2021/5/2,61
2021/5/3,59
2021/5/4,76
2021/5/5,58
2021/5/6,55
2021/5/7,54
2021/5/8,52
2021/5/9,54
2021/5/10,50
2021/5/11,46
2021/5/12,51
2021/5/13,55
2021/5/16,40
2021/5/17,57
2021/5/18,60
2021/5/19,54
2021/5/20,50
2021/5/21,168
2021/5/22,60
2021/5/23,36
2021/5/24,40
2021/5/25,47
2021/5/26,73
2021/5/27,39
2021/5/28,37
2021/5/29,44
2021/5/30,52
2021/5/31,46
2021/6/1,53
2021/6/2,55
2021/6/3,41
2021/6/4,49
2021/6/6,57
2021/6/7,51
2021/6/8,60
2021/6/9,67
2021/6/10,57
2021/6/11,58
2021/6/12,60
2021/6/13,59
2021/6/14,58
2021/6/15,58
2021/6/16,47
2021/6/17,52
2021/6/18,54
2021/6/19,52
2021/6/20,57
2021/6/21,55
2021/6/22,53
2021/6/23,67
2021/6/24,55
2021/6/25,61
2021/6/26,67
2021/6/27,59
2021/6/28,56
2021/6/29,60
2021/6/30,42
2021/1/4,156
2021/1/5,114
2021/1/6,106
2021/1/7,72
2021/1/8,102
2021/1/9,99
2021/1/10,84
2021/1/11,65
2021/1/12,73
2021/1/13,59
2021/1/14,59
2021/1/15,22
2021/1/16,25
2021/1/17,49
2021/1/18,6
2021/1/19,38
2021/1/20,76
2021/1/21,59
2021/1/22,92
2021/1/23,93
2021/1/25,5
2021/1/26,23
2021/1/27,31
2021/1/28,33
2021/1/29,19
2021/1/30,23
2021/1/31,31
2021/2/1,62
2021/2/2,49
2021/2/3,52
2021/2/4,70
2021/2/5,72
2021/2/6,68
2021/2/7,95
2021/2/8,102
2021/2/9,53
2021/2/10,51
2021/2/11,60
2021/2/12,54
2021/2/13,25
2021/2/14,47
2021/2/15,50
2021/2/16,15
2021/2/17,14
2021/2/18,30
2021/2/19,29
2021/2/20,25
2021/2/21,53
2021/2/22,78
2021/2/23,90
2021/2/24,104
2021/2/25,80
2021/2/26,66
2021/2/27,74
2021/2/28,78
2021/3/1,43
2021/3/2,42
2021/3/3,34
2021/3/4,57
2021/3/5,73
2021/3/6,67
2021/3/7,65
2021/3/8,45
2021/3/9,53
2021/3/10,65
2021/3/11,69
2021/3/12,51
2021/3/13,50
2021/3/14,65
2021/3/15,76
2021/3/16,57
2021/3/17,29
2021/3/18,42
2021/3/19,51
2021/3/20,72
2021/3/21,56
2021/3/22,82
2021/3/23,72
2021/3/24,45
2021/3/25,24
2021/3/26,26
2021/3/27,39
2021/3/28,56
2021/3/29,67
2021/3/30,53
2021/3/31,34
2021/1/1,69
2021/1/2,56
2021/1/3,297
